Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Vanilla,255.5 g,219.6 g,159.1,3.0,182.4,204.8 °C,21.7,11.4,16.7,13.8,Electric,Fondant,Local,249.4,53.9 %,6.0,5,3.6,2025-02-06,Average
Vanilla,246.8 g,196.4 g,154.2,3.0,138.3,177.8 °C,,5.2,19.3,12.8,Electric,Fondant,Imported,352.1,51.2 %,5.7,6,4.8,2024-08-03,Average
Chocolate,303.0 g,178.0 g,130.2,3.0,175.4,195.4 °C,45.8,8.3,21.1,16.6,Convection,Fondant,Mixed,373.1,46.1 %,9.4,3,3.5,2025-02-09,Excellent
Black Forest,311.6 g,193.7 g,165.7,4.0,166.5,217.9 °C,42.9,12.6,12.7,9.6,Gas,Ganache,Local,340.5,47.6 %,5.9,8,2.7,2024-08-21,Average
Strawberry,292.4 g,224.1 g,123.0,2.0,173.2,222.7 °C,37.5,8.6,18.6,14.7,Gas,Buttercream,Imported,324.0,54.0 %,8.8,1,4.4,2025-02-21,Good
Vanilla,252.9 g,187.8 g,120.7,3.0,137.1,187.7 °C,24.0,3.4,19.5,2.0,Electric,Fondant,Local,306.4,59.8 %,6.2,7,5.0,2023-04-06,Average
Black Forest,289.8 g,177.3 g,133.1,1.0,179.2,176.9 °C,48.6,11.7,16.2,4.9,Electric,Buttercream,Local,356.1,53.7 %,5.4,8,4.6,2025-02-28,Average
Strawberry,228.3 g,209.4 g,146.2,1.0,153.9,227.2 °C,33.0,8.6,16.3,7.3,Gas,Whipped Cream,Local,407.4,51.1 %,6.6,6,4.2,2025-07-22,Average
Red Velvet,333.3 g,202.7 g,122.6,3.0,237.4,185.4 °C,,9.4,18.2,4.9,Electric,Whipped Cream,Imported,240.6,49.2 %,8.1,3,4.7,2025-08-09,Good
Red Velvet,241.3 g,181.9 g,136.8,2.0,174.9,191.9 °C,41.6,9.1,16.1,10.0,Convection,Fondant,Local,553.9,57.7 %,10.0,10,3.9,2025-04-07,Excellent
Black Forest,245.5 g,191.0 g,118.4,4.0,203.8,186.5 °C,33.4,12.3,10.9,16.5,Gas,Fondant,Imported,240.4,66.1 %,8.0,8,3.2,2025-07-01,Good
Black Forest,281.9 g,191.9 g,133.5,3.8,210.5,197.0 °C,28.6,14.2,,9.2,Gas,Whipped Cream,Local,522.5,59.1 %,7.9,3,2.7,2024-09-19,Good
Vanilla,285.1 g,195.6 g,,4.0,193.5,189.5 °C,32.1,15.4,14.5,7.9,Convection,Fondant,Local,464.9,48.3 %,8.8,5,4.8,,Good
Chocolate,275.5 g,210.1 g,124.9,3.0,183.6,213.1 °C,33.9,14.2,20.4,17.0,Electric,Fondant,Imported,466.8,53.1 %,7.6,10,4.6,2023-05-02,Good
Chocolate,245.7 g,187.9 g,120.2,2.0,219.7,210.4 °C,46.0,9.4,15.5,3.3,Gas,Fondant,Local,396.8,51.0 %,7.1,8,4.9,2025-10-03,Good
Black Forest,324.0 g,211.4 g,145.8,3.0,160.2,180.6 °C,36.7,10.6,8.5,8.9,Gas,Ganache,Mixed,532.5,53.4 %,8.5,9,4.1,2025-07-28,Good
Chocolate Truffle,232.8 g,185.7 g,125.6,1.0,205.0,178.1 °C,44.1,4.1,15.1,6.2,Gas,Ganache,Imported,236.0,49.6 %,8.5,2,2.9,2023-11-27,Good
Vanilla,237.1 g,241.0 g,,3.8,165.9,182.5 °C,31.2,12.1,8.4,10.5,Gas,Fondant,Imported,232.3,59.7 %,7.2,10,3.5,2024-03-20,Good
Chocolate,274.3 g,241.8 g,141.9,3.8,181.2,188.7 °C,27.8,8.5,12.7,7.6,Electric,Fondant,Imported,877.2,55.5 %,6.7,5,3.7,,Average
White Forest,242.0 g,,161.8,5.0,146.0,208.2 °C,43.3,5.5,8.8,2.7,Electric,Whipped Cream,Imported,429.2,46.5 %,7.0,10,3.0,2023-07-12,Good
Pineapple,328.3 g,175.4 g,119.2,3.0,143.9,203.5 °C,32.9,14.0,15.2,8.9,Gas,Fondant,Local,244.6,53.0 %,7.6,14,4.4,2025-10-06,Good
Chocolate Truffle,244.1 g,218.9 g,147.6,3.0,175.9,229.0 °C,34.1,12.2,19.0,8.0,Gas,Fondant,Local,398.8,55.8 %,5.7,8,3.7,2023-07-08,Average
Strawberry,345.6 g,200.9 g,122.8,4.0,218.5,188.5 °C,43.3,14.6,11.8,8.4,Electric,Fondant,Imported,355.1,49.1 %,7.5,5,4.0,2024-08-31,Good
Chocolate Truffle,319.3 g,207.7 g,135.0,2.0,172.0,183.2 °C,28.1,8.1,12.3,3.0,Electric,Buttercream,Local,411.8,53.1 %,9.7,3,4.6,2024-07-26,Excellent
Chocolate,328.9 g,183.7 g,126.1,4.0,248.3,197.8 °C,37.9,4.9,19.1,11.3,Electric,Buttercream,Local,292.8,54.0 %,7.2,4,3.7,2024-12-02,Good
,364.5 g,192.9 g,162.2,2.0,191.7,175.9 °C,33.9,14.3,14.4,12.3,Electric,Whipped Cream,Local,238.4,53.3 %,6.9,5,4.0,2025-06-19,Average
Chocolate,280.7 g,188.9 g,144.6,4.0,173.1,199.7 °C,38.0,8.0,12.7,9.8,Gas,Fondant,Imported,283.9,56.1 %,7.5,11,3.7,2025-05-09,Good
Black Forest,248.1 g,201.9 g,140.5,4.0,237.7,189.6 °C,,9.7,17.5,8.1,Gas,Ganache,Mixed,328.7,59.7 %,8.6,6,4.4,2023-10-29,Good
Chocolate,274.5 g,175.1 g,171.9,2.0,229.3,238.2 °C,51.2,14.4,16.1,5.7,Electric,Ganache,Local,310.4,53.6 %,7.5,14,4.6,2024-01-07,Good
Red Velvet,260.2 g,193.5 g,138.5,3.0,142.7,195.0 °C,20.9,6.6,12.1,7.4,Convection,Ganache,Local,312.1,44.8 %,9.3,1,4.9,2023-01-10,Excellent
Red Velvet,256.1 g,175.0 g,162.0,4.0,177.1,239.9 °C,30.5,8.7,17.1,16.8,Convection,Buttercream,Imported,274.7,53.7 %,8.0,4,4.7,2025-04-02,Good
Vanilla,283.2 g,186.0 g,187.4,2.5,195.9,205.4 °C,36.0,7.1,7.0,7.6,Gas,Buttercream,Mixed,318.1,53.3 %,8.9,15,4.1,2024-06-15,Good
Chocolate Truffle,267.8 g,193.5 g,140.9,4.0,203.9,211.3 °C,33.6,9.8,14.8,10.3,Electric,Ganache,Local,266.0,55.0 %,7.4,3,3.3,2023-09-18,Good
Chocolate,255.0 g,206.6 g,143.3,5.0,199.6,205.3 °C,30.6,9.6,13.2,10.5,Electric,Fondant,Local,253.8,56.9 %,8.3,2,4.3,2024-07-04,Good
Vanilla,269.9 g,208.7 g,159.9,5.0,173.2,178.0 °C,20.2,7.1,11.8,5.3,Electric,Buttercream,Mixed,459.1,49.5 %,10.0,4,4.0,2025-07-08,Excellent
White Forest,298.3 g,213.0 g,174.4,3.8,168.9,224.2 °C,29.9,9.3,9.7,7.4,Convection,Whipped Cream,Mixed,560.0,50.3 %,7.8,4,4.4,2025-04-17,Good
Chocolate,315.7 g,172.2 g,140.7,3.0,175.0,212.0 °C,37.5,11.6,16.2,11.3,Electric,Ganache,Local,279.9,61.3 %,6.7,7,4.8,2024-10-28,Average
Black Forest,234.5 g,227.5 g,127.7,,156.9,199.5 °C,42.0,12.1,19.8,6.6,Electric,Ganache,Imported,317.4,48.2 %,6.6,9,4.6,2025-06-14,Average
Pineapple,268.0 g,183.8 g,157.5,3.0,142.6,179.6 °C,34.1,10.7,13.4,5.7,Electric,Buttercream,Imported,311.3,51.1 %,7.3,7,4.3,2023-12-13,Good
Chocolate Truffle,273.2 g,185.0 g,150.2,2.0,196.1,176.4 °C,37.9,10.7,,1.0,Electric,Fondant,Local,512.1,51.9 %,7.3,1,4.0,2023-12-16,Good
Chocolate Truffle,244.0 g,201.1 g,157.3,3.0,198.3,194.2 °C,35.0,5.4,13.0,13.3,Electric,Fondant,Mixed,357.8,47.8 %,8.5,7,3.8,2025-06-16,Good
Vanilla,273.9 g,189.1 g,153.2,3.0,251.9,213.9 °C,38.1,13.6,19.8,6.5,Gas,Buttercream,Imported,347.1,52.3 %,7.9,7,3.6,2025-04-19,Good
Strawberry,283.1 g,203.2 g,142.2,4.0,161.1,199.6 °C,25.0,10.9,11.8,5.0,Gas,Ganache,Local,161.2,57.2 %,8.0,10,4.4,2023-09-03,Good
Chocolate,297.1 g,207.6 g,143.4,2.0,190.6,203.6 °C,39.3,13.9,18.3,9.6,Electric,Fondant,Local,274.0,49.1 %,6.9,6,4.9,2025-05-23,Average
Vanilla,280.6 g,182.0 g,153.3,3.0,170.5,,30.5,11.5,9.0,11.6,Electric,Whipped Cream,Local,710.2,55.7 %,6.1,7,1.9,2024-12-19,Average
Chocolate,251.5 g,191.9 g,117.7,5.0,173.7,213.5 °C,30.9,12.9,13.2,7.2,Gas,Ganache,Local,263.6,45.8 %,7.8,5,3.8,2023-06-11,Good
Vanilla,372.1 g,192.4 g,170.9,3.0,160.0,210.1 °C,34.4,6.8,16.7,18.3,Electric,Ganache,Imported,284.1,52.1 %,6.4,3,3.8,2024-06-05,Average
Chocolate Truffle,310.0 g,218.4 g,147.4,3.0,179.8,210.2 °C,33.5,18.8,13.9,16.5,Electric,Whipped Cream,Local,225.5,56.7 %,8.4,10,3.7,2023-02-24,Good
Vanilla,298.4 g,186.8 g,124.8,4.0,232.9,205.4 °C,30.1,10.8,19.7,8.9,Gas,Whipped Cream,Local,183.3,48.5 %,7.8,7,4.5,2023-01-07,Good
Strawberry,317.9 g,186.1 g,141.8,2.0,165.4,208.5 °C,43.9,12.8,17.4,11.4,Electric,Fondant,Local,274.7,50.8 %,6.6,5,4.1,2025-06-29,Average
Red Velvet,286.6 g,178.2 g,170.6,2.0,192.0,206.8 °C,37.1,11.7,16.3,1.5,Convection,Ganache,Local,305.2,52.1 %,6.5,11,4.3,2023-07-02,Average
Red Velvet,331.5 g,179.8 g,144.0,3.0,160.9,207.9 °C,30.5,7.7,14.2,12.8,Gas,Whipped Cream,Local,312.7,67.2 %,9.2,11,4.8,2023-08-19,Excellent
Butterscotch,279.9 g,173.8 g,126.4,2.0,140.6,289.3 °C,31.4,7.5,17.4,11.0,Convection,Ganache,Local,250.0,58.9 %,6.1,6,4.6,2023-02-04,Average
Vanilla,278.0 g,182.9 g,119.6,2.0,173.4,196.6 °C,35.2,10.1,15.1,0.0,Gas,Ganache,Local,305.3,51.1 %,7.2,3,2.5,2024-10-09,Good
Strawberry,301.8 g,238.4 g,216.5,5.0,260.6,171.1 °C,31.9,7.0,16.1,7.8,Gas,Whipped Cream,Mixed,253.6,44.3 %,7.8,3,4.3,2025-04-10,Good
Red Velvet,346.7 g,211.2 g,114.9,3.0,155.3,183.3 °C,28.1,15.3,13.2,2.1,Gas,Ganache,Local,272.0,57.1 %,9.0,8,3.5,2024-07-20,Excellent
Chocolate,343.2 g,227.9 g,144.9,2.5,151.6,218.8 °C,35.5,11.2,20.7,14.0,Electric,Fondant,Imported,418.0,61.5 %,8.2,14,4.3,2025-10-02,Good
Red Velvet,300.1 g,179.2 g,128.5,2.0,153.8,204.9 °C,34.7,13.9,19.8,3.2,Convection,Ganache,Imported,532.8,49.6 %,8.0,1,3.2,2023-11-06,Good
Pineapple,297.0 g,167.0 g,162.3,2.0,254.6,193.9 °C,33.8,12.1,10.3,1.6,Electric,Whipped Cream,Local,355.3,49.2 %,5.9,3,3.6,2023-07-15,Average
Chocolate,304.3 g,202.2 g,120.3,3.0,220.0,205.3 °C,46.0,7.0,9.7,4.7,Electric,Fondant,Imported,304.6,43.0 %,7.7,5,3.9,2025-10-10,Good
Chocolate,317.0 g,248.0 g,180.3,2.0,200.5,214.9 °C,34.8,11.4,12.6,8.9,Electric,Fondant,Local,320.3,56.5 %,7.4,11,3.7,2024-11-07,Good
Chocolate,332.1 g,186.5 g,135.9,2.0,231.5,207.6 °C,27.7,12.7,17.7,9.0,Gas,Ganache,Imported,254.0,47.9 %,10.0,9,1.8,2025-09-16,Excellent
White Forest,270.1 g,197.6 g,134.3,4.0,211.5,225.5 °C,38.6,10.1,6.7,5.5,Gas,Whipped Cream,Imported,289.4,57.6 %,9.1,2,4.3,,Excellent
White Forest,333.1 g,171.2 g,132.7,4.0,174.9,236.5 °C,25.1,7.2,15.0,9.6,Gas,Fondant,Imported,409.9,60.0 %,7.9,11,4.0,2024-11-23,Good
Strawberry,290.2 g,196.0 g,128.4,2.0,164.9,214.8 °C,45.6,8.6,12.7,6.0,Gas,Buttercream,Local,446.5,47.4 %,6.6,5,4.5,2024-08-05,Average
Red Velvet,302.4 g,193.0 g,131.8,2.0,216.6,,33.2,11.0,8.5,10.6,Electric,Fondant,Mixed,262.9,48.6 %,6.9,4,3.3,2025-06-02,Average
Chocolate Truffle,336.3 g,165.6 g,153.7,3.0,181.9,223.7 °C,29.3,12.7,,13.1,Gas,Ganache,Local,228.5,46.4 %,6.6,9,4.2,2025-02-22,Average
White Forest,306.5 g,178.0 g,115.0,4.0,152.8,187.6 °C,32.5,6.4,15.5,10.0,Electric,Whipped Cream,Local,322.9,61.1 %,8.2,3,4.2,2023-03-26,Good
Pineapple,313.9 g,176.9 g,126.2,2.0,196.4,182.2 °C,38.1,8.0,12.7,8.5,Electric,Ganache,Imported,386.8,48.7 %,6.7,6,4.9,2023-11-24,Average
Pineapple,265.4 g,171.0 g,176.3,3.0,168.6,182.2 °C,20.0,12.5,19.9,9.6,Gas,Ganache,Imported,413.5,46.2 %,6.6,2,4.6,2023-08-10,Average
Black Forest,342.4 g,182.6 g,136.6,1.0,220.2,194.4 °C,34.0,6.5,14.7,5.1,Electric,Buttercream,Local,365.4,40.9 %,8.0,15,5.0,2025-09-22,Good
Red Velvet,304.3 g,206.7 g,128.7,2.0,151.6,183.4 °C,38.4,9.7,15.1,13.8,Electric,Buttercream,Mixed,286.7,60.4 %,7.3,9,4.7,2025-10-04,Good
Chocolate Truffle,282.3 g,184.0 g,119.6,2.0,198.0,203.8 °C,45.3,9.7,18.3,9.3,Electric,Fondant,Local,538.4,62.1 %,7.6,7,3.9,2025-08-24,Good
Chocolate Truffle,322.4 g,223.9 g,120.8,2.0,183.5,209.3 °C,23.6,12.6,11.4,16.5,Gas,Fondant,Mixed,288.4,48.4 %,7.0,5,3.1,2025-09-28,Good
Chocolate,411.3 g,188.6 g,160.6,2.0,184.3,235.2 °C,20.0,10.9,12.7,19.2,Electric,Fondant,Imported,438.1,52.3 %,7.9,4,3.5,2024-04-14,Good
Chocolate,244.3 g,202.4 g,125.2,4.0,187.5,193.0 °C,33.0,9.7,14.6,2.2,Gas,Ganache,Local,200.2,46.8 %,8.5,5,5.0,2025-05-22,Good
Butterscotch,253.6 g,206.4 g,155.9,2.0,172.3,219.2 °C,38.2,10.2,12.4,12.7,Gas,Buttercream,Local,282.2,44.7 %,7.8,3,4.3,2024-12-03,Good
Vanilla,418.7 g,236.3 g,123.1,3.0,195.5,202.6 °C,29.9,10.6,9.0,8.0,Electric,Whipped Cream,Local,337.3,51.8 %,9.7,4,5.0,2023-09-22,Excellent
Chocolate Truffle,293.5 g,182.7 g,135.9,3.0,187.6,210.5 °C,34.7,10.4,14.9,10.7,Gas,Buttercream,Local,234.7,57.7 %,6.3,8,4.2,2024-05-09,Average
Vanilla,284.6 g,205.1 g,137.0,4.0,182.0,235.9 °C,36.9,13.1,15.5,9.2,Gas,Whipped Cream,Local,202.9,50.4 %,8.6,14,4.2,2024-06-08,Good
Chocolate,274.1 g,179.2 g,126.1,2.0,224.6,212.8 °C,41.2,12.3,14.0,3.5,Electric,Whipped Cream,Local,354.6,48.5 %,8.0,5,4.2,2025-10-18,Good
Chocolate,327.6 g,243.0 g,139.7,3.8,143.1,187.4 °C,41.7,10.2,19.1,12.7,Gas,Fondant,Local,249.5,58.5 %,7.1,6,3.6,2023-05-28,Good
Chocolate,413.1 g,177.9 g,111.6,2.0,198.7,182.9 °C,26.6,13.1,15.5,6.3,Electric,Ganache,Imported,344.9,49.9 %,7.9,4,3.6,2025-10-06,Good
Chocolate,257.4 g,203.7 g,136.6,3.0,185.6,178.9 °C,29.4,16.8,18.0,17.0,Electric,Whipped Cream,Imported,216.3,51.9 %,7.5,10,4.1,2023-02-10,Good
Red Velvet,274.7 g,237.2 g,147.3,3.0,195.5,175.7 °C,23.2,12.7,16.1,8.3,Gas,Whipped Cream,Local,486.0,53.4 %,7.4,5,4.6,2024-02-16,Good
Black Forest,266.6 g,175.8 g,125.0,3.0,199.3,191.8 °C,45.3,9.0,18.4,10.6,Electric,Fondant,Imported,588.2,49.6 %,6.9,4,5.0,2023-07-17,Average
Butterscotch,305.9 g,208.8 g,142.4,4.0,201.5,201.7 °C,28.9,5.8,22.3,12.3,Electric,Whipped Cream,Mixed,190.5,47.0 %,9.7,11,3.9,2023-09-09,Excellent
Red Velvet,328.3 g,,141.2,2.0,166.7,198.7 °C,32.5,8.2,15.7,12.0,Gas,Ganache,Mixed,203.0,54.4 %,7.3,4,4.2,2024-09-22,Good
Red Velvet,349.1 g,267.9 g,142.0,3.0,159.4,189.2 °C,30.5,10.1,18.5,12.6,Electric,Fondant,Local,414.6,60.9 %,6.8,5,4.0,2023-07-13,Average
Red Velvet,307.3 g,167.6 g,,3.0,194.4,174.7 °C,43.1,16.8,16.4,12.9,Gas,Fondant,Imported,227.7,52.9 %,6.8,1,5.0,2024-09-21,Average
Strawberry,406.3 g,171.8 g,140.0,3.0,237.4,222.6 °C,27.5,8.9,,8.7,Electric,Buttercream,Imported,428.8,56.1 %,7.7,5,3.0,2025-01-17,Good
Red Velvet,259.9 g,176.8 g,115.0,2.0,171.9,188.1 °C,47.1,14.7,17.5,7.7,Electric,Whipped Cream,Imported,242.6,55.9 %,8.8,12,3.2,2024-01-31,Good
Chocolate,252.8 g,177.2 g,127.9,2.0,150.5,207.1 °C,23.2,10.9,12.4,13.1,Gas,Ganache,Local,309.2,53.7 %,7.2,6,4.4,2025-02-25,Good
Chocolate,340.9 g,207.0 g,138.1,3.0,206.7,183.9 °C,21.0,8.4,15.7,10.1,Gas,Ganache,Local,261.1,47.7 %,6.3,11,3.6,2023-04-19,Average
Chocolate,282.2 g,245.9 g,142.3,2.0,154.8,177.2 °C,29.3,6.8,13.4,6.0,Electric,Ganache,Imported,325.0,54.3 %,8.4,10,3.1,2024-04-29,Good
Chocolate,239.5 g,,120.4,4.0,188.7,191.3 °C,51.4,9.5,16.1,9.8,Electric,Buttercream,Local,248.2,57.9 %,7.5,5,3.9,2024-11-23,Good
Black Forest,267.6 g,200.4 g,133.2,3.0,150.7,207.8 °C,20.0,7.8,,2.8,Convection,Fondant,Imported,258.9,46.1 %,7.6,12,4.1,2023-08-27,Good
Chocolate,287.0 g,195.7 g,155.6,3.0,169.5,176.4 °C,38.2,7.6,14.7,8.8,Convection,Buttercream,Local,276.5,47.4 %,7.6,3,5.0,2024-10-23,Good
Chocolate Truffle,257.9 g,184.5 g,123.1,1.0,177.9,193.5 °C,34.6,6.1,16.1,8.7,Electric,Buttercream,Mixed,309.7,58.4 %,8.2,5,3.4,2023-06-24,Good
Chocolate Truffle,248.1 g,203.9 g,111.3,1.0,169.3,196.4 °C,35.2,8.3,23.1,9.5,Electric,Whipped Cream,Imported,205.7,59.4 %,8.2,7,4.2,2025-06-15,Good
Butterscotch,271.1 g,191.4 g,149.2,2.0,186.0,191.9 °C,49.3,7.6,15.5,9.8,Electric,Ganache,Local,226.4,48.3 %,7.4,8,3.2,2024-10-01,Good
Chocolate Truffle,246.9 g,199.4 g,123.6,4.0,189.0,181.3 °C,30.3,9.5,13.3,13.2,Electric,Fondant,Local,184.5,49.4 %,6.5,10,3.8,2025-03-31,Average
Vanilla,301.8 g,182.3 g,127.7,3.0,163.2,196.0 °C,38.5,9.9,9.6,16.2,Gas,Buttercream,Mixed,341.5,60.3 %,5.4,4,4.0,2025-10-02,Average
Red Velvet,227.7 g,,140.7,2.0,162.1,188.1 °C,35.1,7.3,19.2,7.2,Convection,Ganache,Imported,401.5,60.4 %,7.9,6,3.8,2023-02-24,Good
Chocolate,281.1 g,196.0 g,139.7,,227.2,178.9 °C,30.8,8.6,16.0,6.7,Electric,Ganache,Local,232.4,54.1 %,8.3,10,3.7,2023-12-09,Good
Pineapple,297.1 g,195.5 g,161.7,2.0,171.0,219.9 °C,29.9,9.5,20.1,10.2,Convection,Fondant,Local,252.7,58.1 %,7.0,5,3.8,2023-04-05,Good
Chocolate Truffle,274.9 g,184.6 g,133.9,2.0,188.1,215.9 °C,37.5,11.8,16.3,4.8,Electric,Buttercream,Local,452.8,46.7 %,9.1,12,4.2,2025-09-11,Excellent
Pineapple,322.1 g,181.9 g,139.5,4.0,142.5,188.9 °C,32.1,12.7,20.5,18.7,Electric,Whipped Cream,Imported,269.0,45.2 %,8.6,4,4.6,2023-12-30,Good
Red Velvet,239.6 g,207.9 g,115.3,1.0,254.1,189.5 °C,32.2,9.3,16.9,9.9,Convection,Ganache,Imported,318.3,51.4 %,7.3,4,3.4,2023-09-08,Good
White Forest,256.4 g,205.4 g,151.5,2.0,193.9,196.7 °C,27.0,9.7,12.7,5.4,Gas,Fondant,Local,373.2,58.0 %,10.0,10,4.0,,Excellent
Chocolate,267.2 g,,127.0,3.0,130.0,213.3 °C,29.9,7.0,16.0,6.3,Gas,Fondant,Imported,231.8,52.2 %,6.8,12,4.4,2023-09-06,Average
Chocolate,305.0 g,231.2 g,261.3,5.0,150.5,222.9 °C,39.0,9.4,16.8,5.9,Electric,Ganache,Mixed,205.7,59.2 %,7.1,4,3.6,2024-08-22,Good
White Forest,285.6 g,175.8 g,134.4,2.0,157.7,178.8 °C,,6.6,19.3,14.2,Gas,Ganache,Local,237.7,57.0 %,9.1,11,4.6,2024-06-22,Excellent
Red Velvet,380.5 g,,146.8,2.0,249.4,215.3 °C,39.1,11.7,15.3,10.8,Convection,Whipped Cream,Local,242.7,51.4 %,7.1,6,4.7,2023-05-28,Good
Butterscotch,253.5 g,173.6 g,151.8,2.5,298.5,200.2 °C,41.4,6.4,8.7,19.8,Electric,Whipped Cream,Local,314.1,50.6 %,6.8,4,3.5,2025-02-11,Average
Chocolate,239.1 g,168.2 g,,3.0,196.6,195.6 °C,39.7,10.7,13.5,0.0,Gas,Whipped Cream,Local,422.6,53.1 %,5.6,7,4.7,2023-05-29,Average
Pineapple,358.7 g,262.0 g,147.1,1.0,219.6,181.8 °C,44.3,8.2,16.7,15.8,Electric,Whipped Cream,Local,200.0,67.3 %,7.1,10,3.1,2025-04-27,Good
Red Velvet,238.3 g,,206.5,2.0,226.5,195.8 °C,42.9,17.1,16.3,0.0,Electric,Buttercream,Imported,217.3,50.8 %,5.3,3,4.4,2024-05-20,Average
Pineapple,303.8 g,184.1 g,126.1,3.0,148.4,196.4 °C,42.1,11.8,15.4,5.0,Electric,Fondant,Local,262.1,44.1 %,8.9,2,4.6,2023-07-07,Good
Pineapple,249.0 g,226.8 g,110.6,1.0,176.0,193.0 °C,32.9,11.7,16.1,9.1,Electric,Whipped Cream,Mixed,315.3,52.6 %,5.0,8,3.8,2025-03-10,Average
Chocolate Truffle,225.4 g,,119.3,3.0,175.5,195.6 °C,20.0,9.4,,5.8,Convection,Buttercream,Mixed,536.0,48.1 %,6.6,2,4.3,2024-05-19,Average
Vanilla,265.8 g,167.3 g,161.1,3.0,232.8,217.7 °C,24.7,13.5,13.8,6.0,Electric,Whipped Cream,Local,288.2,47.4 %,8.0,8,4.4,2023-09-27,Good
Butterscotch,313.1 g,215.4 g,130.1,4.0,271.2,203.4 °C,33.5,10.5,18.9,13.3,Convection,Whipped Cream,Imported,325.7,52.4 %,7.0,11,3.9,2023-08-01,Good
Chocolate,243.0 g,186.4 g,210.0,2.0,278.5,215.5 °C,38.6,8.1,16.4,15.9,Gas,Fondant,Local,348.8,58.5 %,7.3,4,3.4,2024-06-15,Good
Chocolate,299.4 g,203.7 g,153.9,,195.4,179.2 °C,42.8,12.2,13.1,14.0,Electric,Whipped Cream,Local,256.9,57.0 %,7.0,10,3.9,2023-05-31,Good
Red Velvet,307.2 g,302.9 g,127.5,5.0,191.3,192.9 °C,29.8,9.9,17.8,11.3,Gas,Buttercream,Local,349.3,58.5 %,4.9,3,4.1,2024-10-30,Poor
Pineapple,241.9 g,238.1 g,,2.0,165.1,190.9 °C,40.5,5.5,17.3,10.3,Gas,Whipped Cream,Mixed,326.0,46.9 %,7.3,10,3.8,2025-02-12,Good
Red Velvet,270.4 g,192.9 g,130.6,1.0,180.2,207.9 °C,35.3,7.1,16.2,1.0,Electric,Fondant,Mixed,359.7,59.4 %,7.7,4,3.6,2023-07-22,Good
Pineapple,346.7 g,,112.0,3.8,218.3,202.2 °C,36.5,13.8,8.4,7.1,Gas,Fondant,--,188.4,48.4 %,8.1,1,3.6,2023-06-13,Good
White Forest,302.4 g,167.3 g,143.7,,213.4,211.6 °C,39.8,9.1,13.3,4.8,Electric,Whipped Cream,Mixed,293.6,52.6 %,8.1,11,3.3,2023-08-26,Good
Chocolate,269.4 g,206.6 g,153.1,4.0,197.4,229.6 °C,42.2,12.3,12.9,15.5,Electric,Buttercream,Imported,357.5,61.4 %,8.9,3,3.2,2025-06-04,Good
Butterscotch,293.0 g,,123.3,4.0,154.6,202.0 °C,29.6,6.1,9.0,15.6,Convection,Ganache,Mixed,259.6,62.6 %,8.3,10,3.6,2024-02-13,Good
Chocolate,256.8 g,,116.7,3.0,261.8,197.7 °C,32.2,13.1,8.1,4.9,Electric,Ganache,Local,376.7,52.2 %,9.1,9,5.0,2025-08-14,Excellent
Chocolate Truffle,323.0 g,186.1 g,124.0,4.0,194.4,194.3 °C,49.5,4.3,13.5,1.7,Electric,Fondant,Local,206.4,52.5 %,6.7,12,5.0,2025-03-23,Average
Vanilla,323.0 g,203.7 g,161.1,2.0,184.9,175.9 °C,20.9,5.3,,19.4,Convection,Whipped Cream,Local,440.2,47.3 %,8.1,1,3.5,2025-03-03,Good
Red Velvet,282.1 g,215.6 g,155.9,4.0,211.1,181.3 °C,46.4,5.5,14.8,21.3,Gas,Ganache,Mixed,243.6,50.6 %,6.7,2,3.2,2023-09-15,Average
Red Velvet,286.1 g,163.5 g,142.4,4.0,159.8,177.2 °C,30.7,10.8,18.5,4.2,Gas,Fondant,Imported,252.0,50.0 %,6.6,6,4.4,2023-06-17,Average
Chocolate,248.5 g,189.4 g,181.5,1.0,157.3,190.3 °C,37.5,10.7,20.7,3.0,Electric,Ganache,Local,295.4,51.5 %,5.9,8,3.9,2024-01-02,Average
Vanilla,240.0 g,179.9 g,115.3,3.0,167.2,192.3 °C,43.1,7.3,10.2,7.2,Electric,Ganache,Local,327.1,54.6 %,10.0,9,3.1,2025-10-24,Excellent
Chocolate,265.8 g,210.5 g,134.5,5.0,150.6,232.5 °C,50.0,4.5,19.6,12.5,Electric,Ganache,Local,317.4,52.6 %,6.5,10,4.9,2023-11-14,Average
Chocolate,275.0 g,231.1 g,149.9,,182.1,199.9 °C,34.1,13.5,13.7,13.8,Gas,Ganache,Local,455.5,47.0 %,7.9,9,3.9,2024-03-02,Good
Chocolate,320.6 g,184.4 g,155.5,3.8,129.8,200.7 °C,50.3,11.0,,4.4,Electric,Ganache,Local,343.2,52.0 %,6.2,6,4.9,2025-10-09,Average
Red Velvet,314.2 g,177.2 g,155.9,3.0,164.1,187.4 °C,25.3,11.4,17.8,18.2,Electric,Ganache,Mixed,279.3,55.1 %,8.6,4,3.7,2025-09-03,Good
